clause,risk,category,reason
Company may change pricing anytime. (variation 192),High,Payment,Unpredictable costs
Full liability accepted by vendor. (variation 193),Low,Liability,Favorable to client
User activity tracked. (variation 194),Medium,Privacy,Tracking concern
Full liability accepted by vendor. (variation 195),Low,Liability,Favorable to client
Termination requires 60 days notice. (variation 196),Low,Termination,Reasonable
Vendor is not liable for indirect damages. (variation 197),High,Liability,Removes accountability
Late fee of 5% per month. (variation 198),Medium,Payment,High penalty
Late fee of 5% per month. (variation 199),Medium,Payment,High penalty
Vendor liable only for direct damages. (variation 200),Medium,Liability,Partial limitation
Liability is capped at total fees paid. (variation 201),High,Liability,Limits compensation
Contract auto-renews annually. (variation 202),Medium,Termination,Lock-in risk
Vendor is not liable for indirect damages. (variation 203),High,Liability,Removes accountability
Full liability accepted by vendor. (variation 204),Low,Liability,Favorable to client
Payment due within 30 days. (variation 205),Low,Payment,Standard terms
Liability is capped at total fees paid. (variation 206),High,Liability,Limits compensation
Vendor is not liable for indirect damages. (variation 207),High,Liability,Removes accountability
Vendor liable only for direct damages. (variation 208),Medium,Liability,Partial limitation
Vendor is not liable for indirect damages. (variation 209),High,Liability,Removes accountability
Company may change pricing anytime. (variation 210),High,Payment,Unpredictable costs
Late fee of 5% per month. (variation 211),Medium,Payment,High penalty
Client data shared with third parties. (variation 212),High,Privacy,Privacy risk
Termination requires 60 days notice. (variation 213),Low,Termination,Reasonable
Company can terminate without notice. (variation 214),High,Termination,Unfair
Termination penalty applies. (variation 215),High,Termination,Financial burden
Vendor is not liable for indirect damages. (variation 216),High,Liability,Removes accountability
Full liability accepted by vendor. (variation 217),Low,Liability,Favorable to client
Data anonymized. (variation 218),Low,Privacy,Privacy preserved
Data encrypted at rest. (variation 219),Low,Privacy,Secure
Company can terminate without notice. (variation 220),High,Termination,Unfair
Payment due within 30 days. (variation 221),Low,Payment,Standard terms
Company can terminate without notice. (variation 222),High,Termination,Unfair
Data anonymized. (variation 223),Low,Privacy,Privacy preserved
Termination penalty applies. (variation 224),High,Termination,Financial burden
Vendor liable only for direct damages. (variation 225),Medium,Liability,Partial limitation
Termination requires 60 days notice. (variation 226),Low,Termination,Reasonable
Data anonymized. (variation 227),Low,Privacy,Privacy preserved
Contract auto-renews annually. (variation 228),Medium,Termination,Lock-in risk
Payment due within 30 days. (variation 229),Low,Payment,Standard terms
Data anonymized. (variation 230),Low,Privacy,Privacy preserved
Payment due within 30 days. (variation 231),Low,Payment,Standard terms
Client data shared with third parties. (variation 232),High,Privacy,Privacy risk
Contract auto-renews annually. (variation 233),Medium,Termination,Lock-in risk
Client data shared with third parties. (variation 234),High,Privacy,Privacy risk
Company may change pricing anytime. (variation 235),High,Payment,Unpredictable costs
Flexible payment options available. (variation 236),Low,Payment,User-friendly
Vendor is not liable for indirect damages. (variation 237),High,Liability,Removes accountability
Flexible payment options available. (variation 238),Low,Payment,User-friendly
Vendor liable only for direct damages. (variation 239),Medium,Liability,Partial limitation
Company can terminate without notice. (variation 240),High,Termination,Unfair
User activity tracked. (variation 241),Medium,Privacy,Tracking concern
Full liability accepted by vendor. (variation 242),Low,Liability,Favorable to client
Data encrypted at rest. (variation 243),Low,Privacy,Secure
Termination penalty applies. (variation 244),High,Termination,Financial burden
Data encrypted at rest. (variation 245),Low,Privacy,Secure
Payment due within 30 days. (variation 246),Low,Payment,Standard terms
Company can terminate without notice. (variation 247),High,Termination,Unfair
Liability is capped at total fees paid. (variation 248),High,Liability,Limits compensation
Company may change pricing anytime. (variation 249),High,Payment,Unpredictable costs
User activity tracked. (variation 250),Medium,Privacy,Tracking concern
Contract auto-renews annually. (variation 251),Medium,Termination,Lock-in risk
Company can terminate without notice. (variation 252),High,Termination,Unfair
Company can terminate without notice. (variation 253),High,Termination,Unfair
Data encrypted at rest. (variation 254),Low,Privacy,Secure
Data encrypted at rest. (variation 255),Low,Privacy,Secure
Data anonymized. (variation 256),Low,Privacy,Privacy preserved
Vendor is not liable for indirect damages. (variation 257),High,Liability,Removes accountability
Late fee of 5% per month. (variation 258),Medium,Payment,High penalty
Late fee of 5% per month. (variation 259),Medium,Payment,High penalty
Contract auto-renews annually. (variation 260),Medium,Termination,Lock-in risk
Data anonymized. (variation 261),Low,Privacy,Privacy preserved
Contract auto-renews annually. (variation 262),Medium,Termination,Lock-in risk
Termination penalty applies. (variation 263),High,Termination,Financial burden
Payment due within 30 days. (variation 264),Low,Payment,Standard terms
Contract auto-renews annually. (variation 265),Medium,Termination,Lock-in risk
Late fee of 5% per month. (variation 266),Medium,Payment,High penalty
Payment due within 30 days. (variation 267),Low,Payment,Standard terms
Client data shared with third parties. (variation 268),High,Privacy,Privacy risk
Company can terminate without notice. (variation 269),High,Termination,Unfair
Vendor liable only for direct damages. (variation 270),Medium,Liability,Partial limitation
Vendor liable only for direct damages. (variation 271),Medium,Liability,Partial limitation
Company may change pricing anytime. (variation 272),High,Payment,Unpredictable costs
Vendor liable only for direct damages. (variation 273),Medium,Liability,Partial limitation
Late fee of 5% per month. (variation 274),Medium,Payment,High penalty
Company may change pricing anytime. (variation 275),High,Payment,Unpredictable costs
Client data shared with third parties. (variation 276),High,Privacy,Privacy risk
Late fee of 5% per month. (variation 277),Medium,Payment,High penalty
Company may change pricing anytime. (variation 278),High,Payment,Unpredictable costs
Liability is capped at total fees paid. (variation 279),High,Liability,Limits compensation
Contract auto-renews annually. (variation 280),Medium,Termination,Lock-in risk
Full liability accepted by vendor. (variation 281),Low,Liability,Favorable to client
Termination requires 60 days notice. (variation 282),Low,Termination,Reasonable
Company may change pricing anytime. (variation 283),High,Payment,Unpredictable costs
User activity tracked. (variation 284),Medium,Privacy,Tracking concern
Flexible payment options available. (variation 285),Low,Payment,User-friendly
Liability is capped at total fees paid. (variation 286),High,Liability,Limits compensation
Full liability accepted by vendor. (variation 287),Low,Liability,Favorable to client
Data anonymized. (variation 288),Low,Privacy,Privacy preserved
Flexible payment options available. (variation 289),Low,Payment,User-friendly
Company can terminate without notice. (variation 290),High,Termination,Unfair
Liability is capped at total fees paid. (variation 291),High,Liability,Limits compensation
Company may change pricing anytime. (variation 292),High,Payment,Unpredictable costs
Company may change pricing anytime. (variation 293),High,Payment,Unpredictable costs
Company may change pricing anytime. (variation 294),High,Payment,Unpredictable costs
Full liability accepted by vendor. (variation 295),Low,Liability,Favorable to client
Full liability accepted by vendor. (variation 296),Low,Liability,Favorable to client
Full liability accepted by vendor. (variation 297),Low,Liability,Favorable to client
Vendor liable only for direct damages. (variation 298),Medium,Liability,Partial limitation
Vendor is not liable for indirect damages. (variation 299),High,Liability,Removes accountability
Contract auto-renews annually. (variation 300),Medium,Termination,Lock-in risk
Client data shared with third parties. (variation 301),High,Privacy,Privacy risk
Data anonymized. (variation 302),Low,Privacy,Privacy preserved
Termination penalty applies. (variation 303),High,Termination,Financial burden
Flexible payment options available. (variation 304),Low,Payment,User-friendly
Full liability accepted by vendor. (variation 305),Low,Liability,Favorable to client
User activity tracked. (variation 306),Medium,Privacy,Tracking concern
Vendor liable only for direct damages. (variation 307),Medium,Liability,Partial limitation
Full liability accepted by vendor. (variation 308),Low,Liability,Favorable to client
Contract auto-renews annually. (variation 309),Medium,Termination,Lock-in risk
Late fee of 5% per month. (variation 310),Medium,Payment,High penalty
Full liability accepted by vendor. (variation 311),Low,Liability,Favorable to client
Data anonymized. (variation 312),Low,Privacy,Privacy preserved
Late fee of 5% per month. (variation 313),Medium,Payment,High penalty
Termination penalty applies. (variation 314),High,Termination,Financial burden
Company can terminate without notice. (variation 315),High,Termination,Unfair
Full liability accepted by vendor. (variation 316),Low,Liability,Favorable to client
Vendor liable only for direct damages. (variation 317),Medium,Liability,Partial limitation
Liability is capped at total fees paid. (variation 318),High,Liability,Limits compensation
Termination requires 60 days notice. (variation 319),Low,Termination,Reasonable
Vendor liable only for direct damages. (variation 320),Medium,Liability,Partial limitation
Payment due within 30 days. (variation 321),Low,Payment,Standard terms
Late fee of 5% per month. (variation 322),Medium,Payment,High penalty
Liability is capped at total fees paid. (variation 323),High,Liability,Limits compensation
Termination penalty applies. (variation 324),High,Termination,Financial burden
Company can terminate without notice. (variation 325),High,Termination,Unfair
Late fee of 5% per month. (variation 326),Medium,Payment,High penalty
Liability is capped at total fees paid. (variation 327),High,Liability,Limits compensation
User activity tracked. (variation 328),Medium,Privacy,Tracking concern
Vendor liable only for direct damages. (variation 329),Medium,Liability,Partial limitation
Termination requires 60 days notice. (variation 330),Low,Termination,Reasonable
Full liability accepted by vendor. (variation 331),Low,Liability,Favorable to client
Company may change pricing anytime. (variation 332),High,Payment,Unpredictable costs
Payment due within 30 days. (variation 333),Low,Payment,Standard terms
Late fee of 5% per month. (variation 334),Medium,Payment,High penalty
Termination penalty applies. (variation 335),High,Termination,Financial burden
Data encrypted at rest. (variation 336),Low,Privacy,Secure
Payment due within 30 days. (variation 337),Low,Payment,Standard terms
Termination penalty applies. (variation 338),High,Termination,Financial burden
Late fee of 5% per month. (variation 339),Medium,Payment,High penalty
Data encrypted at rest. (variation 340),Low,Privacy,Secure
Data encrypted at rest. (variation 341),Low,Privacy,Secure
User activity tracked. (variation 342),Medium,Privacy,Tracking concern
Termination penalty applies. (variation 343),High,Termination,Financial burden
Data encrypted at rest. (variation 344),Low,Privacy,Secure
Termination requires 60 days notice. (variation 345),Low,Termination,Reasonable
Flexible payment options available. (variation 346),Low,Payment,User-friendly
Client data shared with third parties. (variation 347),High,Privacy,Privacy risk
Vendor is not liable for indirect damages. (variation 348),High,Liability,Removes accountability
Company may change pricing anytime. (variation 349),High,Payment,Unpredictable costs
Company can terminate without notice. (variation 350),High,Termination,Unfair
Termination requires 60 days notice. (variation 351),Low,Termination,Reasonable
Data anonymized. (variation 352),Low,Privacy,Privacy preserved
Payment due within 30 days. (variation 353),Low,Payment,Standard terms
Liability is capped at total fees paid. (variation 354),High,Liability,Limits compensation
Liability is capped at total fees paid. (variation 355),High,Liability,Limits compensation
Late fee of 5% per month. (variation 356),Medium,Payment,High penalty
Termination penalty applies. (variation 357),High,Termination,Financial burden
Liability is capped at total fees paid. (variation 358),High,Liability,Limits compensation
Liability is capped at total fees paid. (variation 359),High,Liability,Limits compensation
Company may change pricing anytime. (variation 360),High,Payment,Unpredictable costs
Termination requires 60 days notice. (variation 361),Low,Termination,Reasonable
Vendor is not liable for indirect damages. (variation 362),High,Liability,Removes accountability
Contract auto-renews annually. (variation 363),Medium,Termination,Lock-in risk
Company may change pricing anytime. (variation 364),High,Payment,Unpredictable costs
Company can terminate without notice. (variation 365),High,Termination,Unfair
Data encrypted at rest. (variation 366),Low,Privacy,Secure
User activity tracked. (variation 367),Medium,Privacy,Tracking concern
Vendor is not liable for indirect damages. (variation 368),High,Liability,Removes accountability
Data encrypted at rest. (variation 369),Low,Privacy,Secure
User activity tracked. (variation 370),Medium,Privacy,Tracking concern
Client data shared with third parties. (variation 371),High,Privacy,Privacy risk
Company may change pricing anytime. (variation 372),High,Payment,Unpredictable costs
Flexible payment options available. (variation 373),Low,Payment,User-friendly
Termination penalty applies. (variation 374),High,Termination,Financial burden
Data anonymized. (variation 375),Low,Privacy,Privacy preserved
Company can terminate without notice. (variation 376),High,Termination,Unfair
Company may change pricing anytime. (variation 377),High,Payment,Unpredictable costs
Client data shared with third parties. (variation 378),High,Privacy,Privacy risk
Client data shared with third parties. (variation 379),High,Privacy,Privacy risk
Liability is capped at total fees paid. (variation 380),High,Liability,Limits compensation
Late fee of 5% per month. (variation 381),Medium,Payment,High penalty
Client data shared with third parties. (variation 382),High,Privacy,Privacy risk
Termination penalty applies. (variation 383),High,Termination,Financial burden
Company may change pricing anytime. (variation 384),High,Payment,Unpredictable costs
Vendor liable only for direct damages. (variation 385),Medium,Liability,Partial limitation
Vendor liable only for direct damages. (variation 386),Medium,Liability,Partial limitation
Termination requires 60 days notice. (variation 387),Low,Termination,Reasonable
Vendor liable only for direct damages. (variation 388),Medium,Liability,Partial limitation
Data encrypted at rest. (variation 389),Low,Privacy,Secure
Flexible payment options available. (variation 390),Low,Payment,User-friendly
Contract auto-renews annually. (variation 391),Medium,Termination,Lock-in risk
Liability is capped at total fees paid. (variation 392),High,Liability,Limits compensation
Vendor is not liable for indirect damages. (variation 393),High,Liability,Removes accountability
Liability is capped at total fees paid. (variation 394),High,Liability,Limits compensation
Late fee of 5% per month. (variation 395),Medium,Payment,High penalty
Flexible payment options available. (variation 396),Low,Payment,User-friendly
Company can terminate without notice. (variation 397),High,Termination,Unfair
Client data shared with third parties. (variation 398),High,Privacy,Privacy risk
Data anonymized. (variation 399),Low,Privacy,Privacy preserved
Data anonymized. (variation 400),Low,Privacy,Privacy preserved
Payment due within 30 days. (variation 401),Low,Payment,Standard terms
Late fee of 5% per month. (variation 402),Medium,Payment,High penalty
Flexible payment options available. (variation 403),Low,Payment,User-friendly
Late fee of 5% per month. (variation 404),Medium,Payment,High penalty
Vendor is not liable for indirect damages. (variation 405),High,Liability,Removes accountability
Company may change pricing anytime. (variation 406),High,Payment,Unpredictable costs
Payment due within 30 days. (variation 407),Low,Payment,Standard terms
Full liability accepted by vendor. (variation 408),Low,Liability,Favorable to client
Payment due within 30 days. (variation 409),Low,Payment,Standard terms
Payment due within 30 days. (variation 410),Low,Payment,Standard terms
Flexible payment options available. (variation 411),Low,Payment,User-friendly
Liability is capped at total fees paid. (variation 412),High,Liability,Limits compensation
Vendor liable only for direct damages. (variation 413),Medium,Liability,Partial limitation
Payment due within 30 days. (variation 414),Low,Payment,Standard terms
Flexible payment options available. (variation 415),Low,Payment,User-friendly
Company can terminate without notice. (variation 416),High,Termination,Unfair
Company may change pricing anytime. (variation 417),High,Payment,Unpredictable costs
Client data shared with third parties. (variation 418),High,Privacy,Privacy risk
Termination requires 60 days notice. (variation 419),Low,Termination,Reasonable
Full liability accepted by vendor. (variation 420),Low,Liability,Favorable to client
Flexible payment options available. (variation 421),Low,Payment,User-friendly
Full liability accepted by vendor. (variation 422),Low,Liability,Favorable to client
Flexible payment options available. (variation 423),Low,Payment,User-friendly
Data encrypted at rest. (variation 424),Low,Privacy,Secure
Contract auto-renews annually. (variation 425),Medium,Termination,Lock-in risk
User activity tracked. (variation 426),Medium,Privacy,Tracking concern
Company can terminate without notice. (variation 427),High,Termination,Unfair
Payment due within 30 days. (variation 428),Low,Payment,Standard terms
User activity tracked. (variation 429),Medium,Privacy,Tracking concern
Contract auto-renews annually. (variation 430),Medium,Termination,Lock-in risk
Company can terminate without notice. (variation 431),High,Termination,Unfair
Late fee of 5% per month. (variation 432),Medium,Payment,High penalty
Termination requires 60 days notice. (variation 433),Low,Termination,Reasonable
Flexible payment options available. (variation 434),Low,Payment,User-friendly
Vendor liable only for direct damages. (variation 435),Medium,Liability,Partial limitation
Vendor liable only for direct damages. (variation 436),Medium,Liability,Partial limitation
Flexible payment options available. (variation 437),Low,Payment,User-friendly
Payment due within 30 days. (variation 438),Low,Payment,Standard terms
Data encrypted at rest. (variation 439),Low,Privacy,Secure
Client data shared with third parties. (variation 440),High,Privacy,Privacy risk
Flexible payment options available. (variation 441),Low,Payment,User-friendly
Termination penalty applies. (variation 442),High,Termination,Financial burden
Contract auto-renews annually. (variation 443),Medium,Termination,Lock-in risk
Full liability accepted by vendor. (variation 444),Low,Liability,Favorable to client
Data anonymized. (variation 445),Low,Privacy,Privacy preserved
Data encrypted at rest. (variation 446),Low,Privacy,Secure
Flexible payment options available. (variation 447),Low,Payment,User-friendly
Client data shared with third parties. (variation 448),High,Privacy,Privacy risk
Company can terminate without notice. (variation 449),High,Termination,Unfair
Client data shared with third parties. (variation 450),High,Privacy,Privacy risk
Client data shared with third parties. (variation 451),High,Privacy,Privacy risk
Data anonymized. (variation 452),Low,Privacy,Privacy preserved
Full liability accepted by vendor. (variation 453),Low,Liability,Favorable to client
Data encrypted at rest. (variation 454),Low,Privacy,Secure
Company can terminate without notice. (variation 455),High,Termination,Unfair
Late fee of 5% per month. (variation 456),Medium,Payment,High penalty
Company can terminate without notice. (variation 457),High,Termination,Unfair
Termination requires 60 days notice. (variation 458),Low,Termination,Reasonable
Vendor liable only for direct damages. (variation 459),Medium,Liability,Partial limitation
Vendor is not liable for indirect damages. (variation 460),High,Liability,Removes accountability
Contract auto-renews annually. (variation 461),Medium,Termination,Lock-in risk
